score,genuine
7.700222539291683155e-02,0.000000000000000000e+00
6.870597727021203749e-01,1.000000000000000000e+00
-4.695556729539130530e-02,0.000000000000000000e+00
3.083133201313673077e-01,1.000000000000000000e+00
2.226382344918492184e-01,1.000000000000000000e+00
9.702866166171478235e-02,0.000000000000000000e+00
-8.502074340011787912e-02,0.000000000000000000e+00
7.017747939924157130e-01,1.000000000000000000e+00
3.101019031237087775e-01,1.000000000000000000e+00
-6.684373753479234959e-02,0.000000000000000000e+00
5.901961554783108355e-01,1.000000000000000000e+00
8.548984131596659708e-01,1.000000000000000000e+00
1.610573181360751838e-01,0.000000000000000000e+00
6.354435342798255837e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-8.341437101182878899e-02,0.000000000000000000e+00
-3.028649281260998444e-02,0.000000000000000000e+00
4.259124607650964789e-01,1.000000000000000000e+00
-1.542615883725481085e-01,0.000000000000000000e+00
6.990249019226781046e-02,0.000000000000000000e+00
9.736073784198884251e-02,0.000000000000000000e+00
1.278281931626163437e-01,0.000000000000000000e+00
1.056580960206243563e-01,0.000000000000000000e+00
-1.899831062853026345e-02,0.000000000000000000e+00
4.603876158088406334e-01,1.000000000000000000e+00
3.829109805315102089e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.275102558106584238e-01,1.000000000000000000e+00
4.806602933480940143e-01,1.000000000000000000e+00
3.924353195369276182e-02,0.000000000000000000e+00
5.943119618842466166e-03,0.000000000000000000e+00
1.199113708644623938e-01,0.000000000000000000e+00
-6.109495569566459477e-03,0.000000000000000000e+00
2.780825525828184430e-01,1.000000000000000000e+00
5.282015207772308152e-01,1.000000000000000000e+00
2.841942276816524990e-02,0.000000000000000000e+00
-2.053639032294692079e-02,0.000000000000000000e+00
4.182869978909373732e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
5.502139681485633815e-01,1.000000000000000000e+00
-4.311790425677780592e-02,0.000000000000000000e+00
3.232479861023447865e-01,1.000000000000000000e+00
-4.741551169587884806e-02,0.000000000000000000e+00
6.009722275948903292e-01,1.000000000000000000e+00
5.777916878273237078e-01,1.000000000000000000e+00
6.486486810192672037e-01,1.000000000000000000e+00
8.474189303128073503e-01,1.000000000000000000e+00
2.315194686426358117e-01,1.000000000000000000e+00
6.654917233330430448e-02,0.000000000000000000e+00
4.810991044477871403e-01,1.000000000000000000e+00
6.631166527040326386e-01,1.000000000000000000e+00
3.439680322305520288e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
7.166937326378086670e-02,0.000000000000000000e+00
3.072315335043825923e-01,1.000000000000000000e+00
6.380034920555980316e-01,1.000000000000000000e+00
5.749735263198810786e-01,1.000000000000000000e+00
4.473166363301183113e-01,1.000000000000000000e+00
9.306198759452763980e-01,1.000000000000000000e+00
4.197272051984214380e-01,1.000000000000000000e+00
3.023801807788875640e-02,0.000000000000000000e+00
2.690478122715994971e-02,0.000000000000000000e+00
6.438938439026907663e-03,0.000000000000000000e+00
-1.086999709855356218e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
4.647546066821856003e-02,0.000000000000000000e+00
5.411037518070944685e-01,1.000000000000000000e+00
3.722849133088147466e-01,1.000000000000000000e+00
9.865838183230535297e-02,0.000000000000000000e+00
1.343584265445552928e-01,0.000000000000000000e+00
-4.770479423814064091e-02,0.000000000000000000e+00
-6.026272211559455250e-02,0.000000000000000000e+00
-3.664812910199051477e-02,0.000000000000000000e+00
-4.703375358790640171e-02,0.000000000000000000e+00
1.356455064567635704e-01,0.000000000000000000e+00
-4.642380782584538609e-03,0.000000000000000000e+00
6.322138066919839039e-01,1.000000000000000000e+00
-3.957065566576544596e-02,0.000000000000000000e+00
6.575606698075595058e-02,0.000000000000000000e+00
5.107275555316400650e-01,1.000000000000000000e+00
4.631853748406378757e-01,1.000000000000000000e+00
-4.897239335226986900e-02,0.000000000000000000e+00
5.949415950882576132e-01,1.000000000000000000e+00
-7.095138937399729506e-02,0.000000000000000000e+00
4.177072484131815755e-01,1.000000000000000000e+00
5.058286711161810167e-01,1.000000000000000000e+00
2.012637647032624807e-03,0.000000000000000000e+00
5.308294646199042399e-02,0.000000000000000000e+00
-2.561496990357498005e-02,0.000000000000000000e+00
1.403188245663850864e-01,0.000000000000000000e+00
1.305628421508339965e-01,0.000000000000000000e+00
1.131527977207833074e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.740342372880240240e-02,0.000000000000000000e+00
3.390842155730845742e-02,0.000000000000000000e+00
5.244925010856757996e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
7.114205210480106789e-02,0.000000000000000000e+00
6.904576094147701903e-01,1.000000000000000000e+00
6.572616479340929185e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.016442660724341529e-01,1.000000000000000000e+00
-1.377428768677784084e-02,0.000000000000000000e+00
-1.397529424665625852e-01,0.000000000000000000e+00
7.702759616092047512e-01,1.000000000000000000e+00
2.263560666022314261e-01,0.000000000000000000e+00
