score,genuine
3.389631921152677640e-01,1.000000000000000000e+00
4.579679298813785771e-01,1.000000000000000000e+00
1.793034269258229618e-01,0.000000000000000000e+00
5.319288359367251307e-01,1.000000000000000000e+00
7.611256349382972131e-02,1.000000000000000000e+00
4.289288783658463111e-01,1.000000000000000000e+00
2.471137799228520504e-01,0.000000000000000000e+00
-3.612370322152495816e-02,0.000000000000000000e+00
5.049737108132700270e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.156759424915597106e-02,0.000000000000000000e+00
-4.042647414571452075e-02,0.000000000000000000e+00
1.113701141092726804e-01,0.000000000000000000e+00
4.806925392439396760e-01,1.000000000000000000e+00
5.859004423020806041e-01,1.000000000000000000e+00
8.505202332418805578e-02,0.000000000000000000e+00
2.005426233630885902e-02,0.000000000000000000e+00
-5.720775411091738594e-02,0.000000000000000000e+00
-8.307194234441918346e-02,0.000000000000000000e+00
2.263393290380774914e-01,1.000000000000000000e+00
5.388200246819954686e-02,0.000000000000000000e+00
3.665461754644038783e-01,1.000000000000000000e+00
5.185647578481247244e-01,1.000000000000000000e+00
5.765261827195077293e-01,1.000000000000000000e+00
6.237483060658438605e-01,1.000000000000000000e+00
5.511898244099133759e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.537979262745201026e-01,0.000000000000000000e+00
3.624867171253053910e-01,1.000000000000000000e+00
5.496229151858429418e-01,1.000000000000000000e+00
3.874572719316758673e-02,0.000000000000000000e+00
6.981947016259933136e-02,0.000000000000000000e+00
1.390397286617776895e-02,0.000000000000000000e+00
5.325837667655273222e-01,1.000000000000000000e+00
5.405108766354792538e-01,1.000000000000000000e+00
-4.448070940853173644e-02,0.000000000000000000e+00
4.132430798546067874e-01,1.000000000000000000e+00
7.013493366639082793e-02,0.000000000000000000e+00
2.854218981157931601e-01,1.000000000000000000e+00
4.507124591291045146e-01,1.000000000000000000e+00
6.734424852644584902e-01,1.000000000000000000e+00
2.502515103715242592e-02,1.000000000000000000e+00
6.157705449776202516e-02,0.000000000000000000e+00
3.729440411081119677e-01,1.000000000000000000e+00
5.720723913179873721e-01,1.000000000000000000e+00
2.802457926250983555e-01,1.000000000000000000e+00
1.019026991129696191e-01,0.000000000000000000e+00
2.793144770116908204e-01,1.000000000000000000e+00
1.663375500284455522e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.500796326325485097e-01,1.000000000000000000e+00
3.265718126134212196e-01,1.000000000000000000e+00
3.471076441708908500e-01,1.000000000000000000e+00
4.401650817518221182e-01,1.000000000000000000e+00
1.817835968215906761e-01,0.000000000000000000e+00
4.595013233434335626e-02,0.000000000000000000e+00
1.258087071561810322e-01,0.000000000000000000e+00
5.764139648161363816e-01,1.000000000000000000e+00
6.918372988271475066e-01,1.000000000000000000e+00
1.347071242646356165e-02,0.000000000000000000e+00
1.181191136598297720e-01,0.000000000000000000e+00
-1.817816706796569204e-01,0.000000000000000000e+00
-7.936429574408868093e-02,0.000000000000000000e+00
7.123442096594836959e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.946358645214665284e-01,0.000000000000000000e+00
-4.829771923357324692e-02,0.000000000000000000e+00
1.369405654351851520e-01,0.000000000000000000e+00
2.132113128614229469e-01,1.000000000000000000e+00
1.269162160673505679e-01,0.000000000000000000e+00
2.958401518205278080e-02,0.000000000000000000e+00
1.203023977956594742e-01,0.000000000000000000e+00
4.919298732655161821e-01,1.000000000000000000e+00
6.119328101151958466e-01,1.000000000000000000e+00
4.948710758655864433e-02,0.000000000000000000e+00
3.082450091627683131e-01,1.000000000000000000e+00
3.030913532132867294e-02,0.000000000000000000e+00
-3.563786906025072365e-02,0.000000000000000000e+00
6.030375960830974824e-01,1.000000000000000000e+00
2.008520187835344528e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-2.985572725060314098e-02,0.000000000000000000e+00
5.832400060353045562e-02,0.000000000000000000e+00
7.663641643516991286e-02,0.000000000000000000e+00
1.752128186873988178e-02,1.000000000000000000e+00
-7.475821203864585485e-02,0.000000000000000000e+00
2.015421558745097985e-01,0.000000000000000000e+00
-2.408330622071149299e-02,0.000000000000000000e+00
6.177911833703363109e-02,0.000000000000000000e+00
1.307479461294941969e-01,0.000000000000000000e+00
6.135092270047036722e-01,1.000000000000000000e+00
3.904144410301211843e-01,1.000000000000000000e+00
6.454083901888812980e-01,1.000000000000000000e+00
5.699168815009577616e-01,1.000000000000000000e+00
-2.662382276815063089e-03,0.000000000000000000e+00
5.566037461954080889e-01,1.000000000000000000e+00
-2.854748059842522612e-02,0.000000000000000000e+00
1.564744987587310399e-01,0.000000000000000000e+00
2.175054053609277727e-01,1.000000000000000000e+00
-4.722354775624020007e-02,0.000000000000000000e+00
3.665906259578231019e-01,1.000000000000000000e+00
4.426132319668085735e-01,1.000000000000000000e+00
-3.672395697525459440e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.910269770430053304e-01,1.000000000000000000e+00
4.099296719039099979e-01,1.000000000000000000e+00
3.980949261297526687e-01,1.000000000000000000e+00
-9.257065326776921232e-02,0.000000000000000000e+00
