score,genuine
5.113924783091025605e-02,0.000000000000000000e+00
6.557479731905805354e-01,1.000000000000000000e+00
-4.914821875602916335e-02,0.000000000000000000e+00
2.788566953166097817e-01,1.000000000000000000e+00
1.617886586470565491e-01,1.000000000000000000e+00
8.785555942052197809e-02,0.000000000000000000e+00
-2.609872883468678656e-02,0.000000000000000000e+00
7.075868804155366343e-01,1.000000000000000000e+00
3.259804699591683508e-01,1.000000000000000000e+00
-1.112891967915753677e-01,0.000000000000000000e+00
5.983540048065298933e-01,1.000000000000000000e+00
8.363310010134100692e-01,1.000000000000000000e+00
1.724432023251551982e-01,0.000000000000000000e+00
6.487197916165086120e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-1.055687195714749976e-01,0.000000000000000000e+00
-1.867477542246361727e-02,0.000000000000000000e+00
4.103941720587340192e-01,1.000000000000000000e+00
-1.453885807973700484e-01,0.000000000000000000e+00
9.450269314449495639e-02,0.000000000000000000e+00
1.128015199313844030e-01,0.000000000000000000e+00
1.685264431481403868e-01,0.000000000000000000e+00
4.094398223367352874e-02,0.000000000000000000e+00
1.048779385511088881e-02,0.000000000000000000e+00
4.376772254696407738e-01,1.000000000000000000e+00
5.855640080551010457e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.889084466017301178e-01,1.000000000000000000e+00
5.028758381907479924e-01,1.000000000000000000e+00
4.520927371153980745e-02,0.000000000000000000e+00
1.323141044746646219e-02,0.000000000000000000e+00
3.621465422788101851e-02,0.000000000000000000e+00
4.173965487832978494e-02,0.000000000000000000e+00
3.161028820964815189e-01,1.000000000000000000e+00
5.147326670582820229e-01,1.000000000000000000e+00
6.884835776739295365e-02,0.000000000000000000e+00
-7.132224650516437447e-02,0.000000000000000000e+00
4.319734710726347848e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
5.324877919791429770e-01,1.000000000000000000e+00
6.418176667193797001e-03,0.000000000000000000e+00
3.511752575061232728e-01,1.000000000000000000e+00
-2.295033088177761416e-02,0.000000000000000000e+00
5.717726254068448144e-01,1.000000000000000000e+00
5.554580473417146669e-01,1.000000000000000000e+00
6.489059575721547457e-01,1.000000000000000000e+00
8.819798272546621742e-01,1.000000000000000000e+00
2.058889252769807443e-01,1.000000000000000000e+00
6.018758316742415376e-02,0.000000000000000000e+00
4.469842090443663096e-01,1.000000000000000000e+00
6.352648418788923168e-01,1.000000000000000000e+00
2.625104086371938400e-02,1.000000000000000000e+00
6.503006585764087299e-01,1.000000000000000000e+00
7.149027835960980459e-02,0.000000000000000000e+00
2.622135464353211320e-01,1.000000000000000000e+00
5.976862410979464357e-01,1.000000000000000000e+00
5.944812125578762263e-01,1.000000000000000000e+00
