score,genuine
1.274500982726654574e-01,1.000000000000000000e+00
4.266515607240573549e-01,1.000000000000000000e+00
1.892271511178283683e-01,0.000000000000000000e+00
5.181514870714996057e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.578332546615814458e-01,1.000000000000000000e+00
1.760475021935464235e-01,0.000000000000000000e+00
-7.862619916055675617e-02,0.000000000000000000e+00
4.805162248802369862e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
-6.485832004870015211e-02,0.000000000000000000e+00
5.657450345462269325e-01,1.000000000000000000e+00
1.066293245389867000e-01,0.000000000000000000e+00
3.149776099382369798e-01,1.000000000000000000e+00
3.600598172787467521e-01,1.000000000000000000e+00
1.076721762068327398e-01,0.000000000000000000e+00
-5.237188260550326019e-02,0.000000000000000000e+00
6.092292223927596104e-03,0.000000000000000000e+00
-3.297228039957290219e-02,0.000000000000000000e+00
2.758067614741707141e-01,1.000000000000000000e+00
7.164779894017669903e-02,0.000000000000000000e+00
2.275775509054476786e-01,1.000000000000000000e+00
4.524667642631819975e-01,1.000000000000000000e+00
5.044543879720322366e-01,1.000000000000000000e+00
5.264909412077124484e-01,1.000000000000000000e+00
7.503456879735141694e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.164941670172705973e-01,0.000000000000000000e+00
3.783544031379637573e-01,1.000000000000000000e+00
3.137578747680760949e-01,1.000000000000000000e+00
4.950559380088853101e-01,1.000000000000000000e+00
2.620281256491982080e-03,0.000000000000000000e+00
9.907827561961204954e-02,0.000000000000000000e+00
4.675550636438302043e-01,1.000000000000000000e+00
5.520207389173996670e-01,1.000000000000000000e+00
4.385569866457731530e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.167140771355209133e-01,0.000000000000000000e+00
3.310380638364267547e-01,1.000000000000000000e+00
3.000348878884876447e-01,1.000000000000000000e+00
4.899725987275779793e-02,1.000000000000000000e+00
4.301427809672417890e-01,1.000000000000000000e+00
7.587455079619824516e-02,0.000000000000000000e+00
1.524457639891704797e-02,0.000000000000000000e+00
3.710200646315194861e-01,1.000000000000000000e+00
5.824264173694518321e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.152653202836039892e-01,1.000000000000000000e+00
2.030807730854011228e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-2.320289810343266479e-02,0.000000000000000000e+00
-3.412742072880814437e-02,0.000000000000000000e+00
1.978328199535656085e-01,1.000000000000000000e+00
4.273402786654859065e-01,1.000000000000000000e+00
1.389772754391881970e-01,0.000000000000000000e+00
7.250612245294314750e-02,0.000000000000000000e+00
1.459249958591284091e-01,0.000000000000000000e+00
3.324442177836851031e-01,1.000000000000000000e+00
6.230852754163126450e-01,1.000000000000000000e+00
-6.397543369747342445e-03,0.000000000000000000e+00
1.844552536682084534e-02,0.000000000000000000e+00
-9.532668505663421943e-02,0.000000000000000000e+00
-1.010530355190298463e-01,0.000000000000000000e+00
7.880566380311133934e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.902584476408895608e-01,0.000000000000000000e+00
1.046462245950051106e-01,0.000000000000000000e+00
1.694227412544288824e-01,0.000000000000000000e+00
1.283566227201740906e-01,1.000000000000000000e+00
1.058981469420223337e-01,0.000000000000000000e+00
8.250197857508516364e-03,0.000000000000000000e+00
8.224622741443529672e-02,0.000000000000000000e+00
4.895544337369689414e-01,1.000000000000000000e+00
4.254460205262529104e-01,1.000000000000000000e+00
7.422720955502129514e-02,0.000000000000000000e+00
7.146808848363724043e-02,1.000000000000000000e+00
8.172414123710993947e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
4.616898730585834443e-01,1.000000000000000000e+00
2.202445174514221227e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.522022834383578160e-01,0.000000000000000000e+00
1.039747057938589792e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.148345425915272694e-01,1.000000000000000000e+00
4.234618409246195259e-01,1.000000000000000000e+00
1.344721251799094741e-01,1.000000000000000000e+00
-4.498354685538040812e-03,0.000000000000000000e+00
4.537355156755120550e-02,0.000000000000000000e+00
1.587010002284221788e-01,0.000000000000000000e+00
2.841379352587685703e-01,1.000000000000000000e+00
2.646306773712676086e-01,1.000000000000000000e+00
5.491800398064392574e-01,1.000000000000000000e+00
5.251596974948360419e-01,1.000000000000000000e+00
1.049116184052861500e-01,0.000000000000000000e+00
4.215321320702519747e-01,1.000000000000000000e+00
2.471045034521689165e-02,0.000000000000000000e+00
1.368350341791990110e-01,0.000000000000000000e+00
3.680296608103598155e-01,1.000000000000000000e+00
-3.098983591371430590e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
4.892705588423428287e-01,1.000000000000000000e+00
-7.229642653187319523e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.376751051523480138e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.621014563975982370e-01,0.000000000000000000e+00
5.234879628585143579e-02,0.000000000000000000e+00
3.753534617455414057e-01,1.000000000000000000e+00
5.259765215057262688e-01,1.000000000000000000e+00
2.949284130869938569e-01,0.000000000000000000e+00
4.906455799420916253e-01,1.000000000000000000e+00
1.692450514455925981e-01,0.000000000000000000e+00
8.405438329273735854e-02,0.000000000000000000e+00
-5.761728827428440336e-02,0.000000000000000000e+00
5.042453165034161966e-01,1.000000000000000000e+00
3.457036570785406160e-01,1.000000000000000000e+00
2.229064952170810021e-01,1.000000000000000000e+00
3.986498531037757642e-01,1.000000000000000000e+00
1.424292343170695807e-01,0.000000000000000000e+00
5.938128480234904361e-01,1.000000000000000000e+00
5.061660546124239213e-01,1.000000000000000000e+00
2.262251413870308148e-01,1.000000000000000000e+00
1.427461401056783208e-01,0.000000000000000000e+00
1.799685298937604011e-02,0.000000000000000000e+00
1.483000019925219959e-01,0.000000000000000000e+00
1.171545578871402982e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
2.281396935175765417e-01,1.000000000000000000e+00
2.018998977211322599e-01,0.000000000000000000e+00
2.850018206909761265e-01,1.000000000000000000e+00
-9.420064758830243301e-02,0.000000000000000000e+00
6.139810816917846970e-02,0.000000000000000000e+00
9.777812902714842769e-02,0.000000000000000000e+00
