score,genuine
9.718484632763388364e-02,0.000000000000000000e+00
2.388890341363409942e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.227959871005332854e-01,0.000000000000000000e+00
1.209747343465252672e-01,0.000000000000000000e+00
7.259208149265804211e-02,0.000000000000000000e+00
-5.438244499195753201e-02,0.000000000000000000e+00
1.280636435881389035e-01,0.000000000000000000e+00
1.510817585397955347e-02,0.000000000000000000e+00
9.625635836115442601e-02,0.000000000000000000e+00
3.719588902365299210e-02,0.000000000000000000e+00
-1.952961091892761181e-01,0.000000000000000000e+00
1.904444447232500059e-01,0.000000000000000000e+00
5.793133173614462006e-02,0.000000000000000000e+00
1.148647130539641736e-01,0.000000000000000000e+00
-2.034231594204629571e-03,0.000000000000000000e+00
3.063041423617231529e-01,0.000000000000000000e+00
5.152980998592245065e-02,0.000000000000000000e+00
1.684295931998994744e-01,0.000000000000000000e+00
2.151362842255876220e-02,0.000000000000000000e+00
6.965063924472293666e-02,0.000000000000000000e+00
-9.408716794028113353e-03,0.000000000000000000e+00
-1.271168948255588516e-01,0.000000000000000000e+00
7.609273539834932043e-02,0.000000000000000000e+00
5.667903043612945724e-02,0.000000000000000000e+00
-6.991437093320296281e-02,0.000000000000000000e+00
4.711099566143962802e-02,0.000000000000000000e+00
1.906846948674008890e-01,0.000000000000000000e+00
-1.057270445246676419e-02,0.000000000000000000e+00
4.885385473977751913e-02,0.000000000000000000e+00
1.669141581113792738e-01,0.000000000000000000e+00
-8.946280832227189450e-02,0.000000000000000000e+00
-6.788573246825176620e-03,0.000000000000000000e+00
8.022264125967835946e-02,0.000000000000000000e+00
-8.903364693025769827e-02,0.000000000000000000e+00
-3.916674912359888183e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.581861831164897550e-02,0.000000000000000000e+00
-6.118465068980286775e-02,0.000000000000000000e+00
7.962796821195226860e-02,0.000000000000000000e+00
6.171203615131409109e-02,0.000000000000000000e+00
2.052659474866654760e-02,0.000000000000000000e+00
7.962393652133317734e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.381281954320576766e-01,0.000000000000000000e+00
9.663660957357161907e-02,0.000000000000000000e+00
-3.692726346440435015e-02,0.000000000000000000e+00
-3.486411046793180118e-02,0.000000000000000000e+00
1.875358422051588980e-01,0.000000000000000000e+00
-5.135121092609232218e-02,0.000000000000000000e+00
7.869090499271834405e-02,0.000000000000000000e+00
2.083001856904357352e-01,0.000000000000000000e+00
2.415780340693902961e-02,0.000000000000000000e+00
-1.563165750968767767e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.255394849559517134e-01,0.000000000000000000e+00
4.418142479536471545e-02,0.000000000000000000e+00
1.139694226460166437e-01,0.000000000000000000e+00
3.119485842554648933e-02,0.000000000000000000e+00
1.989277093710184741e-01,0.000000000000000000e+00
1.133674077479804310e-01,0.000000000000000000e+00
1.198045133896383785e-01,0.000000000000000000e+00
-1.381779808897572459e-01,0.000000000000000000e+00
8.548821570452812268e-02,0.000000000000000000e+00
5.526270960440322899e-02,0.000000000000000000e+00
-4.481975208741312972e-02,0.000000000000000000e+00
8.526603208468286343e-02,0.000000000000000000e+00
8.527683351181035432e-02,0.000000000000000000e+00
1.256992763663609403e-01,0.000000000000000000e+00
1.051278344016948196e-01,0.000000000000000000e+00
2.275308822681073317e-01,0.000000000000000000e+00
-9.807980193521239828e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-1.480085947980027371e-02,0.000000000000000000e+00
7.222708063623163588e-02,0.000000000000000000e+00
1.492710433903967349e-01,0.000000000000000000e+00
2.407632848658643465e-01,0.000000000000000000e+00
1.935162499508246911e-02,0.000000000000000000e+00
-9.416888838403228434e-02,0.000000000000000000e+00
6.553048019171646421e-02,0.000000000000000000e+00
3.162623451782480000e-02,0.000000000000000000e+00
6.088456439894555233e-02,0.000000000000000000e+00
1.378119984484327820e-01,0.000000000000000000e+00
1.381655438558836435e-01,0.000000000000000000e+00
-7.879386343310625096e-02,0.000000000000000000e+00
1.088404851122813932e-01,0.000000000000000000e+00
-3.596140234575695427e-02,0.000000000000000000e+00
1.247245472660112129e-03,0.000000000000000000e+00
-1.936984718572501152e-01,0.000000000000000000e+00
9.458429943751042734e-02,0.000000000000000000e+00
1.010770035485893253e-01,0.000000000000000000e+00
2.779088196548820666e-02,0.000000000000000000e+00
1.045692434131284820e-01,0.000000000000000000e+00
6.603104071176268963e-02,0.000000000000000000e+00
-2.384611889139914842e-02,0.000000000000000000e+00
4.448055004843629034e-02,0.000000000000000000e+00
1.696383702179395936e-01,0.000000000000000000e+00
1.263337542469442909e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-2.718545581425502525e-02,0.000000000000000000e+00
