score,genuine
3.170530958486461603e-01,1.000000000000000000e+00
4.546641819547226904e-01,1.000000000000000000e+00
1.799871379899680435e-01,0.000000000000000000e+00
5.091297235515612751e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
4.199571511040847138e-01,1.000000000000000000e+00
2.325033648215761584e-01,0.000000000000000000e+00
-5.665725874332822737e-02,0.000000000000000000e+00
5.091831419795104230e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
2.875383409727347642e-02,0.000000000000000000e+00
6.034684212735266229e-01,1.000000000000000000e+00
1.065078299719230820e-01,0.000000000000000000e+00
4.419868711787468540e-01,1.000000000000000000e+00
5.406463895563914379e-01,1.000000000000000000e+00
7.533519340773681128e-02,0.000000000000000000e+00
-7.391480567945822068e-03,0.000000000000000000e+00
-2.054043950326672058e-02,0.000000000000000000e+00
-9.948985682953233323e-02,0.000000000000000000e+00
2.416601549416645123e-01,1.000000000000000000e+00
9.105955837243627504e-02,0.000000000000000000e+00
2.824435798172735823e-01,1.000000000000000000e+00
5.135514910302284575e-01,1.000000000000000000e+00
5.946060242104833637e-01,1.000000000000000000e+00
6.309104661392075375e-01,1.000000000000000000e+00
8.208575170632494145e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.422309356979389594e-01,0.000000000000000000e+00
4.383455526148029024e-01,1.000000000000000000e+00
5.867640944766499000e-01,1.000000000000000000e+00
4.568191287354872454e-01,1.000000000000000000e+00
2.257280887578436840e-02,0.000000000000000000e+00
3.950835174487378476e-02,0.000000000000000000e+00
5.254170718950795793e-01,1.000000000000000000e+00
5.432254906020342888e-01,1.000000000000000000e+00
-1.510817819760237012e-02,0.000000000000000000e+00
3.753546683597724365e-01,1.000000000000000000e+00
9.541755355985924447e-02,0.000000000000000000e+00
2.540631137716332644e-01,1.000000000000000000e+00
4.043322888120662317e-01,1.000000000000000000e+00
5.391712313276493251e-01,1.000000000000000000e+00
4.309286667589430908e-01,1.000000000000000000e+00
5.618580614004232976e-02,0.000000000000000000e+00
3.464454838813080251e-02,0.000000000000000000e+00
5.240463840224162118e-01,1.000000000000000000e+00
3.941606800314003539e-02,0.000000000000000000e+00
1.090635817752035608e-01,0.000000000000000000e+00
3.294311391250491772e-01,1.000000000000000000e+00
1.874473508474548966e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-4.196313759207535854e-02,0.000000000000000000e+00
1.215585309348625118e-02,0.000000000000000000e+00
3.175488892244592298e-01,1.000000000000000000e+00
4.577422333179584912e-01,1.000000000000000000e+00
1.381743934553588404e-01,0.000000000000000000e+00
6.487288131503544941e-02,0.000000000000000000e+00
1.439276902243422362e-01,0.000000000000000000e+00
4.904681390233036620e-01,1.000000000000000000e+00
7.163682935742768931e-01,1.000000000000000000e+00
2.188447121391363243e-02,0.000000000000000000e+00
1.146958425527481173e-01,0.000000000000000000e+00
-1.581715175279026497e-01,0.000000000000000000e+00
