operation,sample_idx,time_s
enroll,0,12.789707453001029
enroll,1,0.2870023020004737
enroll,2,0.2703650020011992
enroll,3,0.2607678019994637
enroll,4,0.27680850199976703
enroll,5,0.28054650199919706
enroll,6,0.28146550100063905
enroll,7,0.28167560099973343
enroll,8,0.28647770099996706
enroll,9,0.28844739999840385
enroll,10,0.28640830099902814
enroll,11,0.2988448010000866
enroll,12,0.28910170099698007
enroll,13,0.2944722009997349
enroll,14,0.29844570100249257
enroll,15,0.2960201009991579
enroll,16,0.29721970099853934
enroll,17,0.2988004010003351
enroll,18,0.2990191009994305
enroll,19,0.3080277010012651
verify,0,0.20725700099865207
verify,1,0.2075920999996015
verify,2,0.22397610100233578
verify,3,0.2136499010011903
verify,4,0.2188535999994201
verify,5,0.20465280099961092
verify,6,0.20292569999946863
verify,7,0.20982090100005735
verify,8,0.21798960100204567
verify,9,0.2084653999991133
verify,10,0.20503500099948724
verify,11,0.24041160100023262
verify,12,0.21311150000110501
verify,13,0.21288660100253765
verify,14,0.025956699999369448
verify,15,0.21806110099714715
verify,16,0.21397240000078455
verify,17,0.19935030099804862
verify,18,0.20328110000264132
verify,19,0.22200380100184702
verify,20,0.2089356000033149
verify,21,0.2141248000007181
verify,22,0.20949760099756531
verify,23,0.20279680000021472
verify,24,0.20527040000160923
verify,25,0.21912860099837417
verify,26,0.014791099998546997
verify,27,0.207914399998117
verify,28,0.21309739999924204
verify,29,0.20903730100326356
verify,30,0.21083210000142572
verify,31,0.2074724009980855
verify,32,0.2025778999995964
verify,33,0.20300249999854714
verify,34,0.22071950100144022
verify,35,0.20882609999898705
verify,36,0.20777319999979227
verify,37,0.2118060009997862
verify,38,0.020956300002580974
verify,39,0.21090840000033495
verify,40,0.20381839999754447
verify,41,0.21555320100014796
verify,42,0.2125250999997661
verify,43,0.20655499999702442
verify,44,0.21121550099996966
verify,45,0.22006709999914165
verify,46,0.21399730099801673
verify,47,0.20120990000214078
verify,48,0.21290070000031847
verify,49,0.2075139010012208
verify,50,0.2109677999978885
verify,51,0.20412969999961206
verify,52,0.02327320000040345
verify,53,0.21586400100204628
verify,54,0.22023469999840017
verify,55,0.21121640099954675
verify,56,0.20969870000044466
verify,57,0.21334510000087903
verify,58,0.21174260000043432
verify,59,0.20084850100101903
verify,60,0.2030707000012626
verify,61,0.21892360000128974
verify,62,0.20158339999761665
verify,63,0.018382199999905424
verify,64,0.01787490000060643
verify,65,0.024653899999975692
verify,66,0.20579970000108005
verify,67,0.20994190000055823
verify,68,0.21287560100245173
verify,69,0.21099170000161394
verify,70,0.2126812999995309
verify,71,0.20707559999937075
verify,72,0.20536809999975958
verify,73,0.21199929999784217
verify,74,0.20237980000092648
verify,75,0.21516860100018675
verify,76,0.20209439999962342
verify,77,0.2073564999991504
verify,78,0.20710129999861238
verify,79,0.2130859999997483
verify,80,0.21333059999960824
verify,81,0.20644080100100837
verify,82,0.2075202000014542
verify,83,0.2042117999990296
verify,84,0.2054024000026402
verify,85,0.20597880000059376
verify,86,0.20466360000136774
verify,87,0.20939080099924468
verify,88,0.22051529999953345
verify,89,0.20845299999928102
verify,90,0.21517059999678168
verify,91,0.20822970000153873
verify,92,0.20350399999733781
verify,93,0.017455799999879673
verify,94,0.22001340100177913
verify,95,0.19634960000257706
verify,96,0.21354650000284892
verify,97,0.01821600000039325
verify,98,0.20787270000073477
verify,99,0.19975249999697553
identify_1N,0,0.22667720000026748
identify_1N,1,0.20738330099993618
identify_1N,2,0.21893680000357563
identify_1N,3,0.20598690000042552
identify_1N,4,0.2157937000010861
identify_1N,5,0.2195495009982551
identify_1N,6,0.20556959999885294
identify_1N,7,0.20764929999859305
identify_1N,8,0.21548340099980123
identify_1N,9,0.2118531999985862
identify_1N,10,0.2047707999990962
identify_1N,11,0.21819110000069486
identify_1N,12,0.2173404009990918
identify_1N,13,0.21555440000156523
identify_1N,14,0.024514699998690048
identify_1N,15,0.21231749999788008
identify_1N,16,0.2131288009986747
identify_1N,17,0.21058590000029653
identify_1N,18,0.21020339999813586
identify_1N,19,0.21547159999681753
identify_1N,20,0.219466400998499
identify_1N,21,0.2155012999974133
identify_1N,22,0.207396300000255
identify_1N,23,0.20403820099818404
identify_1N,24,0.207903599999554
identify_1N,25,0.20326080000086222
identify_1N,26,0.014869599999656202
identify_1N,27,0.2276254999997036
identify_1N,28,0.21664700100154732
identify_1N,29,0.21367060000193305
identify_1N,30,0.21412319999944884
identify_1N,31,0.20911810100005823
identify_1N,32,0.2045778000028804
identify_1N,33,0.20682469999883324
identify_1N,34,0.2204234999990149
identify_1N,35,0.21557660100006615
identify_1N,36,0.2101243999968574
identify_1N,37,0.228105999998661
identify_1N,38,0.01921560000118916
identify_1N,39,0.21112940099919797
identify_1N,40,0.20964660000026925
identify_1N,41,0.2125090999979875
identify_1N,42,0.20820919999823673
identify_1N,43,0.21186029999807943
identify_1N,44,0.216056799999933
identify_1N,45,0.2132848000001104
identify_1N,46,0.22194110000054934
identify_1N,47,0.20193679900330608
identify_1N,48,0.21402709999892977
identify_1N,49,0.21730380000008154
identify_1N,50,0.2150379000013345
identify_1N,51,0.20557349999944563
identify_1N,52,0.025432099999306956
identify_1N,53,0.21427050000056624
identify_1N,54,0.22827799999868148
identify_1N,55,0.22258640000291052
identify_1N,56,0.213078000000678
identify_1N,57,0.20591350000177044
identify_1N,58,0.21064970000225003
identify_1N,59,0.20014230000015232
identify_1N,60,0.21199179899849696
identify_1N,61,0.22241660000145203
identify_1N,62,0.20379339999999502
identify_1N,63,0.021871599998121383
identify_1N,64,0.018353799998294562
identify_1N,65,0.022812499999417923
identify_1N,66,0.20917700000063633
identify_1N,67,0.2154198999996879
identify_1N,68,0.2202352999993309
identify_1N,69,0.2172829000010097
identify_1N,70,0.2204148000018904
identify_1N,71,0.218375799999194
identify_1N,72,0.15915580000000773
identify_1N,73,0.1757480000014766
identify_1N,74,0.1497613999999885
identify_1N,75,0.16155799999978626
identify_1N,76,0.14835159900030703
identify_1N,77,0.15854010000111884
identify_1N,78,0.1617831000003207
identify_1N,79,0.1641615999978967
identify_1N,80,0.15817819999938365
identify_1N,81,0.14924899999823538
identify_1N,82,0.15597559999878285
identify_1N,83,0.15095129999826895
identify_1N,84,0.14315179999903194
identify_1N,85,0.15379220000249916
identify_1N,86,0.14367529900118825
identify_1N,87,0.1613427979973494
identify_1N,88,0.14823179899758543
identify_1N,89,0.14869949800049653
identify_1N,90,0.15106169900172972
identify_1N,91,0.14953489799881936
identify_1N,92,0.1449486990022706
identify_1N,93,0.014400199997908203
identify_1N,94,0.14445819899992784
identify_1N,95,0.1415794980021019
identify_1N,96,0.14515729900085717
identify_1N,97,0.014945599999919068
identify_1N,98,0.14982859800147708
identify_1N,99,0.14243879899731837
