operation,n,db_size,mean_s,median_s,std_s,min_s,max_s
enroll,20,103,0.9134811737998462,0.28877455049769196,2.7246149794743713,0.2607678019994637,12.789707453001029
verify,100,103,0.19299825030007922,0.20845919999919715,0.05472399048004268,0.014791099998546997,0.24041160100023262
identify_1N,100,103,0.18007103590982296,0.20777644999907352,0.05730593950721735,0.014400199997908203,0.22827799999868148
